id,nota,clase,interfete,readme,diagrama,nrFisiere
106,4.23,297,17,0,0,501
107,3.88,381,73,0,1,209
108,9.58,28,149,1,1,510
109,6.67,144,253,1,1,570
110,5.72,397,257,0,0,380
111,4.58,432,217,1,0,57
112,1.51,211,177,1,0,674
113,1.74,375,227,1,0,645
114,8.97,82,97,0,0,344
115,9.41,84,247,1,0,171
116,9.43,311,204,1,1,433
117,2.84,272,64,0,0,92
118,1.99,377,14,1,0,563
119,2.25,285,161,1,1,34
120,5.83,379,141,0,1,613
121,4.65,296,63,0,0,694
122,7.41,414,5,1,1,262
123,3.03,398,225,1,0,446
124,8.64,256,174,0,0,543
125,6.04,213,277,1,0,546
126,1.88,418,44,0,1,283
127,9.2,417,26,1,0,74
128,2.06,156,143,1,1,549
129,7.62,315,140,0,1,354
130,8.05,214,125,0,0,129
131,8.62,95,19,0,0,455
132,8.2,87,114,0,0,461
133,5.81,373,123,0,0,307
134,1.37,246,62,0,1,437
135,6.75,410,44,1,1,51
136,6.84,301,167,0,0,368
137,8.42,351,133,1,0,460
138,2.16,428,258,1,1,279
139,9.31,187,6,0,0,495
140,9.36,490,193,1,0,133
141,1.92,240,29,0,1,268
142,7.57,354,298,0,0,689
143,1.5,72,61,1,1,25
144,8.79,205,289,0,0,170
145,2.95,56,199,1,1,691
146,3.47,434,51,0,0,476
147,8.85,213,5,0,1,467
148,4.67,193,273,0,1,137
149,9.67,365,193,0,1,304
150,4.34,28,155,0,0,111
151,8.01,74,253,0,0,612
152,6.0,459,248,1,0,176
153,5.61,383,132,1,1,321
154,3.08,2,241,0,1,699
155,1.28,73,32,1,0,320
156,9.49,366,214,0,1,142
157,8.52,212,255,0,1,542
158,8.0,49,75,0,0,275
159,7.03,237,193,0,1,685
160,1.76,247,230,1,1,496
161,8.52,388,257,0,0,527
162,7.46,29,270,1,0,606
163,2.85,356,94,0,1,111
164,6.19,484,27,0,0,290
165,5.66,3,266,1,1,490
166,2.37,476,95,1,0,226
167,5.56,26,208,1,1,689
168,4.19,18,75,1,0,213
169,6.25,66,116,0,1,283
170,7.45,330,62,0,0,569
171,9.11,268,194,1,0,270
172,1.29,435,260,1,1,143
173,8.19,434,100,0,1,527
174,4.96,444,256,0,1,95
175,9.39,207,298,1,1,564
176,9.85,213,167,1,0,153
177,2.31,25,239,1,1,86
178,7.95,408,263,1,1,383
179,4.34,265,259,1,0,73
180,3.96,83,154,0,0,654
181,2.34,208,274,1,0,409
182,7.42,128,58,0,0,402
183,2.84,401,227,0,1,260
184,3.69,458,36,1,1,240
185,2.41,111,278,1,0,185
186,2.35,264,180,0,1,337
187,6.25,76,45,0,0,158
188,4.67,24,8,0,0,408
189,5.7,313,125,0,0,58
190,5.18,84,263,1,0,210
191,7.39,241,66,0,0,403
192,6.85,171,203,0,1,24
193,9.98,439,194,1,1,432
194,9.99,107,210,0,0,200
195,5.87,384,107,0,0,230
196,7.47,419,133,0,1,77
197,7.52,267,202,0,1,368
198,2.93,276,4,0,1,586
199,6.72,402,228,0,0,686
200,6.54,8,45,0,1,625
201,4.64,93,19,0,0,41
202,8.53,459,143,0,1,187
203,5.34,88,50,0,1,177
204,6.67,52,120,1,1,423
205,1.65,212,48,0,0,646
206,7.95,67,32,1,0,380
207,7.66,12,40,1,0,390
208,9.55,254,286,0,0,608
209,7.93,294,61,0,1,423
210,6.38,22,40,0,0,487
211,6.05,112,30,0,0,288
212,3.19,103,154,0,1,60
213,9.04,487,146,0,0,78
214,2.97,307,87,0,0,573
215,8.11,199,283,1,0,426
216,8.52,483,161,1,1,197
217,4.47,12,203,1,0,553
218,5.4,371,285,0,0,38
219,5.18,56,258,0,0,334
220,5.26,317,134,0,1,137
221,1.3,62,145,0,0,492
222,5.62,354,252,1,0,433
223,3.85,175,88,1,1,123
224,2.06,281,52,0,1,244
225,5.22,462,89,0,1,695
226,5.7,303,62,1,1,58
227,4.15,266,222,0,0,577
228,9.82,186,229,0,1,48
229,7.65,419,49,1,0,145
230,5.09,175,178,0,1,498
231,8.03,463,33,1,1,423
232,2.46,177,221,1,0,26
233,1.69,352,146,0,1,415
234,8.04,478,123,1,1,143
235,7.4,82,111,1,1,683
236,6.6,16,117,0,1,581
237,5.32,286,28,1,1,257
238,4.81,405,141,0,1,100
239,2.39,474,80,1,0,212
240,1.58,34,192,1,0,695
241,2.67,396,67,0,0,435
242,1.87,213,38,0,1,575
243,2.16,427,225,1,0,250
244,3.77,92,257,1,0,539
245,7.51,308,77,1,1,583
246,3.89,183,132,1,0,149
247,5.93,478,137,1,0,320
248,5.34,194,53,1,1,91
249,9.31,427,127,1,1,254
250,4.87,396,229,1,1,441
251,3.52,484,205,0,0,113
252,3.72,457,295,1,1,345
253,8.15,323,29,0,1,668
254,1.29,431,200,0,0,169
255,9.89,459,148,1,0,7
256,5.49,330,179,1,0,243
257,6.45,395,14,0,0,327
258,3.6,435,298,1,1,101
259,8.09,245,156,0,1,395
260,3.86,474,5,0,0,348
261,4.71,448,134,1,0,50
262,1.63,153,105,1,1,400
263,4.65,360,47,0,0,58
264,4.73,251,170,1,0,366
265,4.18,88,206,1,0,561
266,3.4,475,114,0,0,276
267,9.86,389,180,1,0,206
268,3.91,486,9,1,1,442
269,7.01,384,296,0,1,76
270,1.66,149,28,0,0,111
271,6.68,286,9,1,1,454
272,3.6,32,266,1,0,532
273,5.05,273,239,0,0,101
274,7.63,193,256,1,1,602
275,4.2,173,62,0,0,534
276,6.99,209,175,1,1,33
277,9.9,497,101,0,0,389
278,1.98,99,172,0,1,341
279,9.99,73,206,0,1,545
280,3.98,347,90,0,1,92
281,1.54,417,258,1,0,109
282,3.52,146,239,0,0,173
283,1.07,350,1,1,0,481
284,7.55,33,123,1,1,587
285,2.52,403,34,1,0,92
286,8.85,412,37,1,0,186
287,7.75,133,81,1,1,283
288,7.24,123,3,0,1,28
289,3.37,218,74,1,1,451
290,6.95,466,269,1,1,209
291,6.09,29,118,1,0,348
292,8.97,72,244,1,1,492
293,9.81,386,227,0,1,641
294,4.39,376,273,1,0,310
295,9.55,163,276,0,0,362
296,6.85,352,29,1,1,690
297,6.49,6,104,1,0,295
298,7.12,194,124,0,1,151
299,1.67,331,185,1,1,209
300,7.98,488,26,1,1,340
301,3.18,374,234,1,0,508
302,6.44,465,118,0,0,557
303,3.9,455,281,0,1,197
304,9.25,495,213,1,0,670
305,5.9,258,206,1,1,691
306,6.66,306,256,1,1,102
307,2.13,285,294,0,1,222
308,6.83,253,160,1,1,536
309,4.04,452,98,1,1,81
310,2.38,32,62,1,0,578
311,4.14,1,52,0,1,277
312,9.12,75,152,1,1,311
313,1.18,426,144,1,1,264
314,3.86,113,34,0,0,12
315,5.67,316,203,1,0,69
316,5.51,334,126,1,0,417
317,2.54,222,207,0,0,238
318,9.81,497,120,0,1,192
319,5.88,357,112,1,1,673
320,6.49,9,247,0,0,342
321,2.22,386,61,1,1,18
322,5.55,49,166,0,0,353
323,4.05,270,21,1,1,550
324,4.06,29,156,0,0,263
325,2.17,467,220,1,0,394
326,4.13,169,30,0,0,354
327,5.22,180,102,1,1,181
328,5.36,225,62,1,0,69
329,6.43,455,266,1,1,63
330,9.67,3,161,0,0,78
331,7.53,130,54,0,0,326
332,1.43,432,184,1,1,435
333,9.8,323,248,1,0,614
334,6.74,53,218,1,0,118
335,5.52,5,181,1,1,245
336,2.48,427,253,0,1,462
337,1.29,78,8,0,0,600
338,1.19,264,219,0,1,484
339,4.49,210,273,0,0,564
340,2.76,313,243,0,1,208
341,5.55,91,76,0,1,1
342,5.24,43,49,0,0,352
343,1.53,233,119,1,1,15
344,5.17,43,54,1,1,12
345,5.5,320,241,0,1,425
346,6.89,266,286,1,0,607
347,5.88,45,249,1,1,523
348,8.58,106,24,1,1,98
349,7.42,492,195,1,0,272
350,1.14,449,46,0,1,39
351,10.0,440,295,1,1,215
352,5.98,160,198,0,1,425
353,6.35,385,122,1,0,698
354,1.39,478,133,0,1,265
355,8.08,445,146,1,1,618
356,9.13,148,95,0,1,211
357,5.66,375,267,0,0,220
358,2.51,307,104,0,0,9
359,7.56,338,288,1,1,464
360,3.12,278,78,1,0,538
361,5.69,265,127,0,1,211
362,5.76,95,64,0,1,225
363,6.15,263,39,1,1,230
364,3.27,263,28,1,1,577
365,2.27,88,107,1,1,118
366,7.87,428,4,0,0,164
367,4.15,458,18,0,0,171
368,3.7,336,37,0,1,492
369,9.52,321,294,1,1,689
370,1.59,224,148,1,1,412
371,4.04,393,201,0,1,340
372,2.32,145,219,1,0,164
373,7.61,156,141,1,0,547
374,5.65,383,276,1,0,523
375,4.84,203,6,0,1,638
376,9.54,305,239,1,0,447
377,9.07,480,287,1,1,617
378,4.88,87,218,1,1,498
379,3.27,471,56,0,1,546
380,9.46,416,23,0,1,369
381,5.39,44,289,1,0,569
382,7.64,61,135,0,0,419
383,3.36,177,103,1,1,245
384,9.02,61,128,0,1,642
385,8.26,377,120,1,1,556
386,1.22,357,252,1,1,148
387,3.3,66,114,0,1,46
388,6.07,352,63,0,1,250
389,3.89,363,94,0,0,253
390,1.74,291,148,1,0,122
391,5.67,472,280,0,0,647
392,2.11,447,61,0,0,102
393,1.53,106,136,0,1,341
394,1.61,94,29,1,1,458
395,8.21,87,46,1,1,592
396,1.6,364,255,1,0,493
397,1.42,202,124,1,0,631
398,6.91,86,291,0,0,284
399,1.28,19,90,1,1,248
400,1.14,321,60,0,1,450
401,6.77,56,191,0,0,239
402,5.91,367,159,1,1,92
403,7.79,90,58,1,0,682
404,9.58,212,114,0,1,262
405,8.48,125,144,1,0,240
406,8.03,252,153,1,0,484
407,6.78,314,152,0,0,488
408,6.72,311,46,1,1,675
409,6.88,353,221,1,0,532
410,4.05,179,101,0,0,362
411,7.98,248,189,0,1,17
412,3.86,369,52,1,0,579
413,8.5,242,193,1,1,621
414,7.97,311,68,1,1,286
415,7.81,414,256,1,1,379
416,9.71,209,86,1,1,418
417,4.17,311,252,0,0,410
418,4.03,232,6,0,0,363
419,8.61,306,74,1,1,389
420,4.12,66,142,1,1,65
421,3.17,281,268,0,0,231
422,6.27,280,58,0,0,314
423,2.21,159,139,0,1,105
424,2.81,267,200,1,0,465
425,6.95,14,123,0,0,523
426,8.74,69,218,1,1,106
427,3.03,61,60,1,0,640
428,9.74,391,149,1,0,491
429,2.27,432,16,0,0,431
430,4.21,279,127,0,0,59
431,2.93,409,83,0,1,588
432,5.91,340,283,0,0,30
433,7.41,233,25,1,1,514
434,4.24,360,89,1,1,364
435,9.79,500,165,0,0,181
436,8.98,279,147,1,0,655
437,4.58,209,181,1,1,59
438,7.13,451,295,0,0,407
439,2.8,246,53,0,0,673
440,1.3,110,167,1,0,335
441,6.93,209,282,1,0,36
442,4.89,5,141,0,0,413
443,2.63,88,186,1,0,258
444,2.32,256,71,1,1,670
445,3.25,335,102,0,1,229
446,5.53,151,57,0,1,206
447,3.02,303,49,1,0,208
448,1.33,442,217,0,1,512
449,9.59,229,66,1,0,371
450,2.4,80,300,0,0,576
451,2.16,89,186,0,0,96
452,7.56,460,226,1,0,572
453,2.67,254,217,0,0,2
454,7.78,255,107,0,1,89
455,7.18,375,153,1,0,567
456,9.29,76,118,1,1,563
457,2.11,48,201,1,1,239
458,7.04,224,1,1,1,392
459,1.37,309,20,1,0,285
460,8.29,41,72,1,0,467
461,2.98,291,211,0,0,543
462,6.74,414,292,0,1,371
463,8.29,412,31,1,0,694
464,6.28,241,239,0,1,166
465,8.61,54,35,1,1,72
466,6.87,98,201,1,1,340
467,2.99,63,119,0,0,445
468,1.4,491,297,1,0,603
469,8.68,433,241,1,0,495
470,6.06,214,174,1,0,122
471,3.98,259,296,1,0,1
472,8.57,479,47,0,0,657
473,1.25,284,241,0,1,232
474,1.39,456,41,0,1,181
475,2.2,315,238,1,1,436
476,3.92,465,45,0,1,446
477,9.02,246,248,1,1,113
478,6.67,250,264,1,0,500
479,1.59,252,223,1,1,366
480,7.86,271,77,0,1,333
481,1.69,305,117,1,1,65
482,2.74,479,195,1,1,81
483,8.66,194,290,1,0,188
484,7.2,243,254,1,0,399
485,9.51,29,77,0,0,242
486,2.15,36,192,0,0,160
487,7.38,199,172,0,1,28
488,3.08,112,51,0,1,165
489,3.67,423,268,0,0,628
490,5.06,462,8,1,1,323
491,1.14,86,251,1,1,603
492,3.69,39,180,1,1,76
493,2.81,302,200,1,0,294
494,2.31,2,159,0,1,327
495,5.94,455,283,0,0,172
496,8.1,253,179,0,0,294
497,9.53,392,279,1,0,227
498,7.2,12,99,1,0,226
499,6.84,147,158,1,1,123
500,8.4,213,264,1,0,169
501,2.06,405,100,1,0,20
502,8.63,221,279,0,1,699
503,1.95,314,3,0,1,342
504,9.64,72,138,0,1,681
505,3.2,486,39,0,0,262
506,1.39,36,296,1,1,321
507,7.79,288,193,1,1,169
508,9.01,139,282,0,0,178
509,1.37,14,126,0,1,634
510,5.67,488,224,1,0,296
511,1.62,212,134,0,0,597
512,7.67,152,46,1,0,54
513,6.52,203,94,1,0,139
514,5.35,423,158,0,1,646
515,1.35,178,261,0,1,577
516,9.28,353,156,1,0,503
517,8.33,282,220,1,0,345
518,4.49,8,33,0,0,410
519,9.43,400,41,0,0,52
520,1.65,272,204,1,0,249
521,5.21,446,123,1,1,159
522,9.41,268,119,0,0,461
523,5.92,98,99,1,0,204
524,6.42,340,63,0,1,341
525,5.27,58,174,1,0,406
526,4.53,426,87,0,0,510
527,1.59,19,73,0,1,439
528,6.02,488,197,1,1,430
529,4.95,268,141,0,0,599
530,3.47,142,290,1,0,139
531,9.72,227,147,1,1,683
532,3.51,483,57,1,1,694
533,7.02,115,166,1,1,96
534,3.38,98,28,1,1,546
535,6.84,462,270,0,1,156
536,4.2,381,269,0,0,281
537,6.85,407,190,1,0,106
538,8.07,308,241,0,1,423
539,2.11,466,218,1,1,30
540,2.79,495,211,1,1,684
541,6.01,39,268,0,1,444
542,3.94,210,55,0,0,169
543,4.98,389,287,0,0,400
544,2.81,113,290,1,0,375
545,4.13,27,79,0,0,93
546,2.76,478,103,1,0,692
547,2.49,137,255,0,0,471
548,3.9,494,153,1,0,674
549,7.78,98,82,0,0,191
550,7.25,197,55,0,0,374
551,3.5,44,149,0,1,262
552,3.99,41,102,0,0,25
553,5.03,330,123,0,0,283
554,9.71,493,84,0,0,354
555,4.39,118,171,1,1,59
556,9.31,432,258,1,0,547
557,4.18,468,1,1,1,241
558,5.33,247,195,1,1,435
559,5.11,106,273,0,0,377
560,8.49,221,114,1,1,642
561,6.72,438,43,1,1,125
562,4.54,224,51,0,0,478
563,5.25,142,75,0,1,235
564,9.33,380,125,0,0,499
565,1.67,331,63,0,1,266
566,6.66,148,284,0,1,623
567,5.36,196,13,1,0,408
568,4.53,295,195,1,0,548
569,2.24,3,259,1,0,509
570,8.3,277,264,0,1,692
571,8.41,311,139,1,1,192
572,6.79,34,73,0,1,682
573,1.94,249,145,0,1,203
574,8.66,407,158,1,0,626
575,7.18,291,114,1,1,109
576,8.46,462,191,0,1,29
577,2.85,3,119,0,1,190
578,8.53,386,96,1,1,14
579,6.49,316,291,0,0,627
580,9.98,119,173,0,0,258
581,7.05,51,19,1,1,224
582,6.55,357,269,0,1,82
583,3.84,151,243,0,1,400
584,8.44,395,144,1,1,535
585,7.71,368,50,1,1,264
586,6.13,407,56,1,0,564
587,3.44,435,215,1,1,72
588,7.54,278,258,1,0,665
589,1.9,428,281,0,1,157
590,5.12,384,244,0,0,531
591,3.31,7,84,0,1,386
592,8.34,495,19,1,0,257
593,3.4,240,264,1,1,606
594,7.29,445,246,0,1,377
595,5.54,261,147,1,0,455
596,3.49,346,182,1,1,26
597,1.28,169,151,1,1,318
598,4.03,360,75,0,0,58
599,7.12,297,258,1,0,641
600,8.83,493,129,1,1,623
601,7.11,175,117,1,1,595
602,4.35,15,235,0,0,301
603,5.06,315,240,0,0,382
604,7.65,327,52,0,1,653
605,7.89,139,97,1,1,676
606,1.8,317,208,0,0,415
607,8.21,99,189,0,1,166
608,8.16,495,262,0,0,211
609,7.04,208,115,0,1,80
610,2.49,368,84,0,1,269
611,3.25,270,220,0,1,667
612,1.03,403,162,0,0,476
613,3.55,389,248,1,0,440
614,3.1,291,11,0,0,66
615,1.52,491,58,1,1,363
616,4.52,395,201,0,1,554
617,3.24,453,90,0,1,465
618,4.78,21,48,0,0,534
619,4.92,9,202,0,1,239
620,5.22,363,237,0,1,503
621,7.75,407,177,1,1,346
622,6.68,24,87,1,0,660
623,3.75,158,202,1,0,456
624,4.72,235,255,0,0,315
625,3.86,89,62,0,1,513
626,1.65,49,213,1,1,637
627,1.56,208,119,1,0,520
628,9.0,455,154,1,0,392
629,3.29,446,286,1,1,272
630,1.98,252,113,1,0,612
631,8.49,487,152,1,1,443
632,8.4,30,168,0,0,596
633,7.41,310,38,1,0,233
634,1.6,335,26,1,0,277
635,7.26,2,221,0,0,292
636,9.73,493,288,1,0,220
637,2.71,186,213,1,0,569
638,1.11,242,65,1,1,275
639,3.63,424,118,1,0,250
640,6.61,348,171,0,1,22
641,3.69,14,193,1,0,352
642,9.65,73,219,0,0,111
643,6.16,274,136,0,1,558
644,2.65,339,111,0,0,639
645,3.45,322,131,1,1,284
646,5.71,257,217,0,1,531
647,4.19,420,106,0,1,678
648,9.71,77,180,0,1,492
649,1.79,225,72,1,0,82
650,2.01,221,77,1,1,338
651,2.46,154,211,0,0,440
652,3.53,440,28,0,1,695
653,5.2,381,291,0,0,114
654,3.82,190,47,1,1,674
655,4.14,198,14,1,0,439
656,5.23,108,287,0,1,185
657,7.23,193,30,0,0,490
658,8.32,280,257,1,1,507
659,1.15,167,180,0,0,471
660,1.55,445,146,0,0,344
661,9.67,365,120,1,0,337
662,3.25,451,129,0,1,283
663,9.49,101,32,0,1,481
664,7.86,471,140,0,1,375
665,5.1,425,185,0,0,596
666,4.19,332,267,1,1,363
667,7.91,110,81,1,1,434
668,1.93,260,145,0,1,397
669,2.49,131,293,1,1,128
670,6.37,327,242,0,1,388
671,6.62,384,186,0,1,448
672,2.18,329,50,0,1,408
673,1.48,470,143,1,1,341
674,2.62,455,94,1,0,486
675,9.04,85,147,0,0,492
676,3.96,175,195,0,0,207
677,3.9,20,189,0,1,207
678,6.55,453,79,0,0,425
679,7.04,364,240,1,1,385
680,6.1,233,248,1,0,536
681,8.96,341,236,0,0,306
682,9.57,167,283,0,0,245
683,6.86,200,149,0,1,320
684,8.97,268,223,0,0,308
685,2.66,19,91,1,1,558
686,2.95,125,65,1,1,84
687,4.78,164,141,1,0,589
688,4.03,291,222,1,1,257
689,1.42,130,300,0,1,513
690,9.75,277,293,0,1,424
691,8.19,174,220,0,1,664
692,6.26,179,227,1,0,197
693,1.25,38,4,0,0,622
694,5.74,226,117,1,1,336
695,2.7,376,125,1,1,101
696,6.09,42,104,0,1,461
697,7.8,251,245,1,1,658
698,2.86,481,64,1,0,158
699,9.03,375,21,0,1,104
700,8.92,123,147,0,0,27
701,3.64,160,72,1,1,97
702,5.33,76,62,0,1,253
703,2.01,443,246,1,1,102
704,3.31,323,206,0,0,219
705,7.33,392,216,1,1,631
706,9.86,395,23,0,0,524
707,4.92,10,73,1,1,267
708,8.93,51,124,0,1,506
709,2.79,84,288,1,0,512
710,7.03,9,67,1,0,253
711,4.95,165,223,0,1,38
712,5.63,347,203,0,1,610
713,2.85,185,180,0,1,220
714,3.57,96,80,0,1,517
715,4.48,477,94,1,0,432
716,2.4,246,121,1,1,547
717,7.35,332,284,1,1,507
718,4.67,292,137,0,0,493
719,4.99,397,95,1,1,164
720,6.43,440,294,0,0,686
721,3.91,238,156,0,0,404
722,7.14,264,77,1,1,397
723,7.27,170,238,1,0,407
724,3.74,89,59,0,0,509
725,8.39,329,22,1,0,121
726,7.87,337,117,0,1,138
727,1.35,154,263,1,0,428
728,9.43,352,69,0,0,43
729,6.06,137,41,0,0,52
730,5.13,426,9,1,1,505
731,3.83,273,136,1,1,534
732,5.13,134,42,1,1,544
733,7.5,418,236,1,0,289
734,5.42,133,58,0,0,354
735,2.84,487,147,0,0,139
736,8.2,14,187,0,0,6
737,5.02,411,140,0,1,410
738,5.18,1,255,0,1,315
739,7.32,163,173,1,1,608
740,9.93,106,271,0,0,125
741,7.58,79,23,1,0,418
742,3.14,467,132,0,0,194
743,4.86,146,293,0,1,509
744,6.88,168,97,0,1,44
745,1.26,237,298,0,1,329
746,7.33,238,82,1,0,593
747,6.7,122,155,0,0,595
748,2.25,102,245,1,0,384
749,3.57,324,212,1,1,348
750,9.01,372,66,0,0,259
751,7.52,277,33,0,1,246
752,7.46,277,199,1,1,27
753,7.73,477,239,0,1,287
754,5.62,302,204,0,0,469
755,9.22,106,288,0,1,480
756,1.58,181,46,1,0,346
757,4.41,418,137,0,0,700
758,4.23,275,146,1,0,403
759,5.34,459,163,1,1,191
760,9.21,340,32,1,0,242
761,5.91,389,83,1,0,497
762,1.38,496,222,0,0,539
763,9.5,78,83,1,0,325
764,5.2,474,181,0,1,72
765,8.84,138,218,1,1,188
766,7.55,479,109,0,0,456
767,2.59,181,272,0,1,557
768,7.18,42,207,0,0,178
769,3.78,477,26,0,0,82
770,5.14,426,229,0,0,611
771,5.05,10,250,0,0,535
772,9.92,156,171,0,0,428
773,3.18,472,41,1,0,166
774,4.8,315,295,0,1,77
775,3.52,298,181,0,1,292
776,4.2,379,237,1,0,119
777,7.13,127,150,1,1,699
778,7.06,328,116,0,0,480
779,1.11,84,208,0,0,403
780,2.94,384,175,0,1,111
781,4.27,92,106,0,0,423
782,7.88,327,96,1,1,655
783,7.61,13,196,0,0,330
784,2.03,85,87,1,1,689
785,6.98,26,236,1,0,41
786,5.9,353,222,1,1,620
787,2.59,301,129,0,0,150
788,6.82,372,65,1,1,406
789,8.65,293,236,1,1,364
790,6.58,294,10,1,1,181
791,3.51,359,235,0,1,172
792,4.21,306,225,1,1,616
793,7.02,12,7,1,1,117
794,1.8,428,6,0,1,300
795,2.25,202,104,1,1,126
796,7.61,234,24,1,1,468
797,2.0,456,104,0,1,231
798,2.52,81,95,0,0,250
799,2.74,316,187,0,1,6
800,7.26,498,58,1,1,287
801,1.9,344,203,1,0,211
802,7.22,482,287,0,0,506
803,3.95,426,40,0,1,344
804,1.28,193,189,1,1,528
805,8.9,91,251,1,1,129
806,8.31,226,115,0,0,127
807,4.41,16,38,1,1,449
808,8.77,56,294,0,0,624
809,7.92,62,128,1,1,538
810,2.19,415,297,0,0,416
811,5.45,21,137,1,1,150
812,1.45,38,173,0,1,224
813,6.55,94,222,0,1,3
814,3.05,472,151,0,0,208
815,2.56,442,233,0,0,30
816,7.81,308,117,1,1,577
817,7.69,136,153,0,0,78
818,4.51,183,281,0,1,386
819,5.62,335,161,0,0,588
820,9.35,65,219,1,1,49
821,1.62,208,45,0,1,267
822,9.93,103,215,1,0,515
823,7.97,147,19,1,0,91
824,9.86,248,210,0,1,240
825,4.6,1,13,1,0,644
826,8.46,341,151,0,1,581
827,7.17,342,34,0,0,15
828,1.66,77,232,1,0,28
829,6.2,478,72,1,1,421
830,1.43,95,74,1,0,585
831,3.11,93,231,0,1,42
832,3.11,312,138,1,1,422
833,2.15,319,37,0,1,407
834,2.87,481,269,1,0,691
835,5.79,470,66,0,0,402
836,3.18,28,217,1,0,682
837,3.48,363,55,0,1,596
838,3.34,107,114,1,1,195
839,1.36,445,189,0,0,131
840,6.0,466,255,1,0,155
841,5.56,69,123,0,1,518
842,4.15,81,211,1,0,93
843,4.18,425,164,1,1,308
844,3.29,192,262,1,1,284
845,1.57,48,8,1,0,490
846,8.69,142,116,0,1,11
847,2.38,139,187,0,0,166
848,6.73,6,35,0,1,675
849,1.88,433,249,0,1,311
850,2.54,21,195,1,1,596
851,5.6,177,110,1,1,41
852,7.21,230,143,1,1,694
853,9.51,198,85,0,0,269
854,6.78,108,87,0,1,329
855,2.73,131,47,0,1,372
856,8.15,387,116,1,1,531
857,7.54,497,226,1,0,368
858,9.01,210,82,1,0,232
859,8.93,294,222,0,1,7
860,1.76,444,155,0,0,84
861,6.42,346,296,0,0,41
862,9.55,465,9,0,0,3
863,7.83,492,213,1,0,190
864,8.66,230,77,0,0,109
865,3.97,164,67,0,0,268
866,2.4,426,220,0,1,381
867,7.14,58,209,0,1,193
868,2.63,284,217,0,0,635
869,6.84,432,222,0,0,168
870,4.92,132,38,0,1,180
871,8.24,296,285,0,0,241
